Article Name,Link,DOI Number,Country,Year,Journal Name,Abstract,Keywords,Article Type
Data science and machine learning in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/32209960/,10.4097/kja.20124," Seoul, Korea.",2020,Korean J Anesthesiol,"Machine learning (ML) is revolutionizing anesthesiology research. Unlike classical research methods that are largely inference-based, ML is geared more towards making accurate predictions. ML is a field of artificial intelligence concerned with developing algorithms and models to perform prediction tasks in the absence of explicit instructions. Most ML applications, despite being highly variable in the topics that they deal with, generally follow a common workflow. For classification tasks, a researcher typically tests various ML models and compares the predictive performance with the reference logistic regression model. The main advantage of ML lies in its ability to deal with many features with complex interactions and its specific focus on maximizing predictive performance. However, emphasis on data-driven prediction can sometimes neglect mechanistic understanding. This article mainly focuses on the application of supervised ML to electronic health record (EHR) data. The main limitation of EHR-based studies is in the difficulty of establishing causal relationships. However, the associated low cost and rich information content provide great potential to uncover hitherto unknown correlations. In this review, the basic concepts of ML are introduced along with important terms that any ML researcher should know. Practical tips regarding the choice of software and computing devices are also provided. Towards the end, several examples of successful ML applications in anesthesiology are discussed. The goal of this article is to provide a basic roadmap to novice ML researchers working in the field of anesthesiology.","Anesthesiology / statistics & numerical data*, Blood Glucose / metabolism, Data Interpretation, Statistical*, Data Science / methods, Data Science / statistics & numerical data*, Databases, Factual / statistics & numerical data*, Diabetes Mellitus / blood, Diabetes Mellitus / diagnosis, Electronic Health Records / statistics & numerical data*, Humans, Machine Learning / statistics & numerical data*, Blood Glucose",N/A
Nonoperating room anesthesia education: preparing our residents for the future,https://pubmed.ncbi.nlm.nih.gov/31021895/,10.1097/ACO.0000000000000743," Tennessee, USA.",2019,Curr Opin Anaesthesiol,"Purpose of review:
        
      
      Nonoperating room anesthesia (NORA) is the fastest growing segment of anesthetic practice. This review provides an overview of knowledge and trends that will need to be introduced to residents as part of their education.","Review, Anesthesia / methods, Anesthesia / trends*, Anesthesiologists / education, Anesthesiologists / trends, Anesthesiology / education*, Anesthesiology / trends, Anesthetics / administration & dosage, Biomedical Technology / trends*, Diffusion of Innovation, Forecasting*, Humans, Internship and Residency*, Anesthetics",Review
Biophysical Model: A Promising Method in the Study of the Mechanism of Propofol: A Narrative Review,https://pubmed.ncbi.nlm.nih.gov/35619772/,10.1155/2022/8202869,N/A,2022,Comput Intell Neurosci,"The physiological and neuroregulatory mechanism of propofol is largely based on very limited knowledge. It is one of the important puzzling issues in anesthesiology and is of great value in both scientific and clinical fields. It is acknowledged that neural networks which are comprised of a number of neural circuits might be involved in the anesthetic mechanism. However, the mechanism of this hypothesis needs to be further elucidated. With the progress of artificial intelligence, it is more likely to solve this problem through using artificial neural networks to perform temporal waveform data analysis and to construct biophysical computational models. This review focuses on current knowledge regarding the anesthetic mechanism of propofol, an intravenous general anesthetic, by constructing biophysical computational models.","Review, Anesthetics*, Artificial Intelligence, Neural Networks, Computer, Propofol* / pharmacology, Anesthetics, Propofol",Review
Necessity and Importance of Developing AI in Anesthesia from the Perspective of Clinical Safety and Information Security,https://pubmed.ncbi.nlm.nih.gov/36810475/,10.12659/MSM.938835," Liaoning, China (mainland).",2023,Med Sci Monit,"The rapid development of artificial intelligence (AI) technology is due to the significant progress in big data, databases, algorithms, and computing power, and medical research is a vital application direction of AI. The integrated development of AI and medicine has improved medical technology, and the efficiency of medical services and equipment has enabled doctors to better serve patients. The tasks and characteristics of the anesthesia discipline also make AI necessary for its development, and AI has also been initially applied in different fields of anesthesia. Our review aims to clarify the current situation and challenges of AI application in anesthesiology to provide clinical references and guide the future development of AI in anesthesiology. This review summarizes progress in the application of AI in perioperative risk assessment and prediction, deep monitoring and regulation of anesthesia, essential anesthesia skills operation, automatic drug administration systems, and teaching and training in anesthesia. Also discussed herein are the accompanying risks and challenges of applying AI in anesthesia: patient privacy and information security, data sources, and ethical issues, lack of capital and talent, and the ""black box"" phenomenon.","Review, Algorithms, Anesthesia*, Anesthesiology*, Artificial Intelligence, Big Data, Humans",Review
Understanding basic principles of Artificial Intelligence: a practical guide for intensivists,https://pubmed.ncbi.nlm.nih.gov/36300214/,10.23750/abm.v93i5.13626,N/A,2022,Acta Biomed,"Background and aim:
        
      
      Artificial intelligence was born to allow computers to learn and control their environment, trying to imitate the human brain structure by simulating its biological evolution. Artificial intelligence makes it possible to analyze large amounts of data (big data) in real-time, providing forecasts that can support the clinician's decisions. This scenario can include diagnosis, prognosis, and treatment in anesthesiology, intensive care medicine, and pain medicine. Machine Learning is a subcategory of AI. It is based on algorithms trained for decisions making that automatically learn and recognize patterns from data. This article aims to offer an overview of the potential application of AI in anesthesiology and analyzes the operating principles of machine learning Every Machine Learning pathway starts from task definition and ends in model application.","Algorithms, Artificial Intelligence*, Humans, Machine Learning*, Prognosis",N/A
ChatGPT's performance on JSA-certified anesthesiologist exam,https://pubmed.ncbi.nlm.nih.gov/37902835/,10.1007/s00540-023-03275-4,N/A,2023,J Anesth,N/A,Letter,N/A
[Application of Machine Learning Algorithm in Anesthesia],https://pubmed.ncbi.nlm.nih.gov/33131527/,10.3881/j.issn.1000-503X.12356,N/A,2020,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,"The application of artificial intelligence in medical field is promoting medical innovations.Specifically,machine learning algorithm promotes the development of anesthesiology.This review elucidates the basic concept,research advances,application,and limitations of machine learning algorithm in anesthesiology.","Review, Algorithms*, Anesthesia, Anesthesiology* / methods, Anesthesiology* / trends, Humans, Machine Learning*",Review
"Attitudes of Anesthesiologists toward Artificial Intelligence in Anesthesia: A Multicenter, Mixed Qualitative-Quantitative Study",https://pubmed.ncbi.nlm.nih.gov/36983099/,10.3390/jcm12062096," Zurich, Switzerland.",2023,J Clin Med,"Artificial intelligence (AI) is predicted to play an increasingly important role in perioperative medicine in the very near future. However, little is known about what anesthesiologists know and think about AI in this context. This is important because the successful introduction of new technologies depends on the understanding and cooperation of end users. We sought to investigate how much anesthesiologists know about AI and what they think about the introduction of AI-based technologies into the clinical setting. In order to better understand what anesthesiologists think of AI, we recruited 21 anesthesiologists from 2 university hospitals for face-to-face structured interviews. The interview transcripts were subdivided sentence-by-sentence into discrete statements, and statements were then grouped into key themes. Subsequently, a survey of closed questions based on these themes was sent to 70 anesthesiologists from 3 university hospitals for rating. In the interviews, the base level of knowledge of AI was good at 86 of 90 statements (96%), although awareness of the potential applications of AI in anesthesia was poor at only 7 of 42 statements (17%). Regarding the implementation of AI in anesthesia, statements were split roughly evenly between pros (46 of 105, 44%) and cons (59 of 105, 56%). Interviewees considered that AI could usefully be used in diverse tasks such as risk stratification, the prediction of vital sign changes, or as a treatment guide. The validity of these themes was probed in a follow-up survey of 70 anesthesiologists with a response rate of 70%, which confirmed an overall positive view of AI in this group. Anesthesiologists hold a range of opinions, both positive and negative, regarding the application of AI in their field of work. Survey-based studies do not always uncover the full breadth of nuance of opinion amongst clinicians. Engagement with specific concerns, both technical and ethical, will prove important as this technology moves from research to the clinic.",,N/A
Clinical Knowledge and Reasoning Abilities of AI Large Language Models in Anesthesiology: A Comparative Study on the ABA Exam,https://pubmed.ncbi.nlm.nih.gov/37292642/,10.1101/2023.05.10.23289805,N/A,2023,medRxiv,"Over the past decade, Artificial Intelligence (AI) has expanded significantly with increased adoption across various industries, including medicine. Recently, AI's large language models such as GPT-3, Bard, and GPT-4 have demonstrated remarkable language capabilities. While previous studies have explored their potential in general medical knowledge tasks, here we assess their clinical knowledge and reasoning abilities in a specialized medical context. We study and compare their performances on both the written and oral portions of the comprehensive and challenging American Board of Anesthesiology (ABA) exam, which evaluates candidates' knowledge and competence in anesthesia practice. In addition, we invited two board examiners to evaluate AI's answers without disclosing to them the origin of those responses. Our results reveal that only GPT-4 successfully passed the written exam, achieving an accuracy of 78% on the basic section and 80% on the advanced section. In comparison, the less recent or smaller GPT-3 and Bard models scored 58% and 47% on the basic exam, and 50% and 46% on the advanced exam, respectively. Consequently, only GPT-4 was evaluated in the oral exam, with examiners concluding that it had a high likelihood of passing the actual ABA exam. Additionally, we observe that these models exhibit varying degrees of proficiency across distinct topics, which could serve as an indicator of the relative quality of information contained in the corresponding training datasets. This may also act as a predictor for determining which anesthesiology subspecialty is most likely to witness the earliest integration with AI.",Preprint,N/A
Competency-Based Assessments: Leveraging Artificial Intelligence to Predict Subcompetency Content,https://pubmed.ncbi.nlm.nih.gov/36477379/,10.1097/ACM.0000000000005115," Portsmouth, Virginia.",2023,Acad Med,"Purpose:
        
      
      Faculty feedback on trainees is critical to guiding trainee progress in a competency-based medical education framework. The authors aimed to develop and evaluate a Natural Language Processing (NLP) algorithm that automatically categorizes narrative feedback into corresponding Accreditation Council for Graduate Medical Education Milestone 2.0 subcompetencies.","Artificial Intelligence, Clinical Competence, Education, Medical, Graduate, Feedback, Humans, Internship and Residency*",N/A
How to reduce failure to rescue after visceral surgery?,https://pubmed.ncbi.nlm.nih.gov/33736990/,10.1016/j.jviscsurg.2021.03.002," Beaumont, France. Electronic address: kslim@chu-clermontferrand.fr.",2021,J Visc Surg,"Mortality after visceral surgery has decreased owing to progress in surgical techniques, anesthesiology and intensive care. Mortality occurs in 5-10% of patients after major surgery and remains a topic of interest. However, the ratio of mortality after postoperative complications in relation to overall complications varies between hospitals because of failure to rescue at the time of the complication. There are multiple factors that lead to complication-related mortality: they are patient-related, disease-related, but are related, above all, to the timeliness of diagnosis of the complication, the organisational aspects of management in private or public hospitals, hospital volume that corresponds to the centralisation of initial management or to the concept of referral centre in case of complications, to the team spirit, to communication between the health care providers and to the management of the complication itself. Several organisational advances are to be considered, such as the development of shorter hospitalisations and notably ambulatory surgery, as well as enhanced recovery programs. Remote monitoring and the contribution of artificial intelligence must also be evaluated in this context. The reduction of mortality after visceral surgery rests on several tactics: prevention of potentially lethal complications, the all-important reduction of failure to rescue, and risk management before, during and after hospitalisations that are increasingly shorter.","Artificial Intelligence, Digestive System Surgical Procedures* / adverse effects, Failure to Rescue, Health Care*, Hospital Mortality, Humans, Postoperative Complications / epidemiology, Postoperative Complications / prevention & control",N/A
Machine learning methods for perioperative anesthetic management in cardiac surgery patients: a scoping review,https://pubmed.ncbi.nlm.nih.gov/35070381/,10.21037/jtd-21-765," Amsterdam, The Netherlands.",2021,J Thorac Dis,"Background:
        
      
      Machine learning (ML) is developing fast with promising prospects within medicine and already has several applications in perioperative care. We conducted a scoping review to examine the extent and potential limitations of ML implementation in perioperative anesthetic care, specifically in cardiac surgery patients.",Review,Review
Patent and Bibliometric Analysis of the Scientific Landscape of the Use of Pulse Oximeters and Their Prospects in the Field of Digital Medicine,https://pubmed.ncbi.nlm.nih.gov/37998496/,10.3390/healthcare11223003," Kharkiv, Ukraine.",2023,Healthcare (Basel),"This study conducted a comprehensive patent and bibliometric analysis to elucidate the evolving scientific landscape surrounding the development and application of pulse oximeters, including in the field of digital medicine. Utilizing data from the Lens database for the period of 2000-2023, we identified the United States, China, the Republic of Korea, Japan, Canada, Australia, Taiwan, and the United Kingdom as the predominant countries in patent issuance for pulse oximeter technology. Our bibliometric analysis revealed a consistent temporal trend in both the volume of publications and citations, underscoring the growing importance of pulse oximeters in digitally-enabled medical practice. Using the VOSviewer software(version 1.6.18), we discerned six primary research clusters: (1) measurement accuracy; (2) integration with the Internet of Things; (3) applicability across diverse pathologies; (4) telemedicine and mobile applications; (5) artificial intelligence and deep learning; and (6) utilization in anesthesiology, resuscitation, and intensive care departments. The findings of this study indicate the prospects for leveraging digital technologies in the use of pulse oximetry in various fields of medicine, with implications for advancing the understanding, diagnosis, prevention, and treatment of cardio-respiratory pathologies. The conducted patent and bibliometric analysis allowed the identification of technical solutions to reduce the risks associated with pulse oximetry: improving precision and validity, technically improved clinical diagnostic use, and the use of machine learning.",,N/A
Pushing the limits of liver surgery for colorectal liver metastases: Current state and future directions,https://pubmed.ncbi.nlm.nih.gov/30842810/,10.4240/wjgs.v11.i2.34,N/A,2019,World J Gastrointest Surg,"Liver surgery for the treatment of colorectal liver metastases is the standard treatment in a dynamic surgical field with many variables that should be considered in a curative intent scenario. Hepatectomy for colorectal liver metastases has undergone constant changes over the last 30 years, including indications until the need for rescue procedures of recurrent and advanced diseases as well as minimally invasive surgery. These advancements in liver surgery have not only resulted from overall improvements in the surgical field but have also resulted from a better understanding of the biological behavior of the disease, liver regeneration, and homeostasis during and after surgery. Improvements in anesthesiology, intensive care medicine, radiology, and surgical devices have correlated with further advancements of hepatectomies. Moreover, changes are still forthcoming, and both fields of augmented reality and artificial intelligence will likely have future contributions in this field in regard to both diagnoses and the planning of procedures. The aim of this editorial is to emphasize several aspects that have contributed to the paradigm shifts in colorectal liver metastases surgery over the last three decades as well as to discuss the factors concerning patient selection and the technical aspects of liver surgery. Finally, this editorial will highlight the promising new features of this surgery for diagnoses and treatments in this field.",Editorial,Editorial
"The Impact of Emerging Technologies on Residency Selection by Medical Students in 2017 and 2021, With a Focus on Diagnostic Radiology",https://pubmed.ncbi.nlm.nih.gov/36058817/,10.1016/j.acra.2022.07.003,N/A,2023,Acad Radiol,"Rationale and objectives:
        
      
      We sought to determine the perceived impact of artificial intelligence (AI) and other emerging technologies (ET) on various specialties by medical students in both 2017 and 2021 and how this might affect their residency selections.","Artificial Intelligence, Career Choice, Humans, Internship and Residency*, Radiology* / education, Students, Medical*, Surveys and Questionnaires",N/A
Medical Informatics Operating Room Vitals and Events Repository (MOVER): a public-access operating room database,https://pubmed.ncbi.nlm.nih.gov/37860605/,10.1093/jamiaopen/ooad084,N/A,2023,JAMIA Open,"Objectives:
        
      
      Artificial intelligence (AI) holds great promise for transforming the healthcare industry. However, despite its potential, AI is yet to see widespread deployment in clinical settings in significant part due to the lack of publicly available clinical data and the lack of transparency in the published AI algorithms. There are few clinical data repositories publicly accessible to researchers to train and test AI algorithms, and even fewer that contain specialized data from the perioperative setting. To address this gap, we present and release the Medical Informatics Operating Room Vitals and Events Repository (MOVER).",,N/A
Machine learning in anesthesiology: Detecting adverse events in clinical practice,https://pubmed.ncbi.nlm.nih.gov/35801667/,10.1177/14604582221112855," Groningen, The Netherlands.",2022,Health Informatics J,"The credibility of threshold-based alarms in anesthesia monitors is low and most of the warnings they produce are not informative. This study aims to show that Machine Learning techniques have a potential to generate meaningful alarms during general anesthesia without putting constraints on the type of procedure. Two distinct approaches were tested - Complication Detection and Anomaly Detection. The former is a generic supervised learning problem and for this a simple feed-forward Neural Network performed best. For the latter, we used an Encoder-Decoder Long Short-Term Memory architecture that does not require a large manually-labeled dataset. We show this approach to be more flexible and in the spirit of Explainable Artificial Intelligence, offering greater potential for future improvement.","Anesthesiology* / methods, Artificial Intelligence*, Humans, Machine Learning, Neural Networks, Computer",N/A
Year in Review 2020: Noteworthy Literature in Cardiothoracic Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/33938302/,10.1177/10892532211013614," CO, USA.",2021,Semin Cardiothorac Vasc Anesth,"The year 2020 was marred by the emergence of a deadly pandemic that disrupted every aspect of life. Despite the disruption, notable research accomplishments in the practice of cardiothoracic anesthesiology occurred in 2020 with an emphasis on optimizing care, improving outcomes, and expanding what is possible for patients undergoing cardiac surgery. This year's edition of Noteworthy Literature Review will focus on specific themes in cardiac anesthesiology that include preoperative anemia, predictors of acute kidney injury following cardiac surgery, pain management modalities, anticoagulation strategies after transcatheter aortic valve replacement, mechanical circulatory support, and future directions in research.","Acute Kidney Injury*, Anesthesiology*, Aortic Valve Stenosis*, Humans, Transcatheter Aortic Valve Replacement*",N/A
A real-time anatomy ıdentification via tool based on artificial ıntelligence for ultrasound-guided peripheral nerve block procedures: an accuracy study,https://pubmed.ncbi.nlm.nih.gov/34008072/,10.1007/s00540-021-02947-3," Ankara, Turkey.",2021,J Anesth,"We aimed to assess the accuracy of an artificial intelligence (AI)-based real-time anatomy identification software specifically developed to ease image interpretation intended for ultrasound-guided peripheral nerve block (UGPNB). Forty healthy participants (20 women, 20 men) were enrolled to perform interscalene, supraclavicular, infraclavicular, and transversus abdominis plane (TAP) blocks under ultrasound guidance using AI software by anesthesiology trainees. During block practice by a trainee, once the software indicates 100% scan success of each block associated anatomic landmarks, both raw and labeled ultrasound images were saved, assessed, and validated using a 5-point scale by expert validators. When trainees reached 100% scan success, accuracy scores of the validators were noted. Correlation analysis was used whether the relationship (r) according to demographics (gender, age, and body mass index: BMI) and block type exist. The BMI (kg/m2) and age (year) of participants were 22.2 ± 3 and 32.2 ± 5.25, respectively. Assessment scores of validators for all blocks were similar in male and female individuals. Mean assessment scores of validators were not significantly different according to age and BMI except for TAP block, which was inversely correlated with age and BMI (p = 0.01). AI technology can successfully interpret anatomical structures in real-time sonography while assisting young anesthesiologists during UGPNB practice.","Abdominal Muscles / diagnostic imaging, Artificial Intelligence*, Female, Humans, Male, Nerve Block*, Peripheral Nerves / diagnostic imaging, Ultrasonography, Ultrasonography, Interventional",N/A
Simulated anesthesia consent discussions demonstrate high level of comprehension and education requirements for patients: A pilot study,https://pubmed.ncbi.nlm.nih.gov/37214539/,10.1016/j.pecinn.2023.100153,N/A,2023,PEC Innov,"Objective:
        
      
      Patient comprehension of informed consent and demonstration of procedural understanding is often lacking in anesthesiology. The purpose of this study was to determine if patient communication in anesthesiology is being conducted effectively, and in a manner that ensures adequate communication between anesthesia professionals and their patients regarding procedures with associated risks and benefits.",,N/A
Examining the impact perceptual learning artificial-intelligence-based on the incidence of paresthesia when performing the ultrasound-guided popliteal sciatic block: simulation-based randomized study,https://pubmed.ncbi.nlm.nih.gov/36526998/,10.1186/s12871-022-01937-6,N/A,2022,BMC Anesthesiol,"Objective:
        
      
      To explore the impact of artificial-intelligence perceptual learning when performing the ultrasound-guided popliteal sciatic block.","Randomized Controlled Trial, Research Support, Non-U.S. Gov't, Artificial Intelligence, Humans, Incidence, Intelligence, Paresthesia / etiology, Sciatic Nerve* / diagnostic imaging, Ultrasonography, Interventional*",Randomized Controlled Trial
A descriptive appraisal of quality of reporting in a cohort of machine learning studies in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/35811037/,10.1016/j.accpm.2022.101126,N/A,2022,Anaesth Crit Care Pain Med,"Background:
        
      
      The field of machine learning is being employed more and more in medicine. However, studies have shown that the quality of published studies frequently lacks completeness and adherence to published reporting guidelines. This assessment has not been done in the subspecialty of anesthesiology.","Anesthesiology* / methods, Cohort Studies, Humans, Machine Learning, Research Design",N/A
"Protocol for the Effectiveness of an Anesthesiology Control Tower System in Improving Perioperative Quality Metrics and Clinical Outcomes: the TECTONICS randomized, pragmatic trial",https://pubmed.ncbi.nlm.nih.gov/32201572/,10.12688/f1000research.21016.1,N/A,2019,F1000Res,"Introduction: Perioperative morbidity is a public health priority, and surgical volume is increasing rapidly. With advances in technology, there is an opportunity to research the utility of a telemedicine-based control center for anesthesia clinicians that assess risk, diagnoses negative patient trajectories, and implements evidence-based practices. Objectives: The primary objective of this trial is to determine whether an anesthesiology control tower (ACT) prevents clinically relevant adverse postoperative outcomes including 30-day mortality, delirium, respiratory failure, and acute kidney injury. Secondary objectives are to determine whether the ACT improves perioperative quality of care metrics including management of temperature, mean arterial pressure, mean airway pressure with mechanical ventilation, blood glucose, anesthetic concentration, antibiotic redosing, and efficient fresh gas flow. Methods and analysis: We are conducting a single center, randomized, controlled, phase 3 pragmatic clinical trial. A total of 58 operating rooms are randomized daily to receive support from the ACT or not. All adults (eighteen years and older) undergoing surgical procedures in these operating rooms are included and followed until 30 days after their surgery. Clinicians in operating rooms randomized to ACT support receive decision support from clinicians in the ACT. In operating rooms randomized to no intervention, the current standard of anesthesia care is delivered. The intention-to-treat principle will be followed for all analyses. Differences between groups will be presented with 99% confidence intervals; p-values <0.005 will be reported as providing compelling evidence, and p-values between 0.05 and 0.005 will be reported as providing suggestive evidence. Registration: TECTONICS is registered on ClinicalTrials.gov, NCT03923699; registered on 23 April 2019.","Pragmatic Clinical Trial, Randomized Controlled Trial, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S., Research Support, U.S. Gov't, P.H.S., Adult, Anesthesiology*, Arterial Pressure, Benchmarking*, Humans, Respiration, Artificial* / methods, Telemedicine*",Randomized Controlled Trial
Anesthesia 2.0: internet-based information resources and Web 2.0 applications in anesthesia education,https://pubmed.ncbi.nlm.nih.gov/20090518/,10.1097/ACO.0b013e328337339c," California, USA. lchu@stanford.edu",2010,Curr Opin Anaesthesiol,"Purpose of review:
        
      
      Informatics is a broad field encompassing artificial intelligence, cognitive science, computer science, information science, and social science. The goal of this review is to illustrate how Web 2.0 information technologies could be used to improve anesthesia education.","Review, Anesthesiology / education*, Blogging, Communications Media, Computer Simulation, Information Dissemination*, Internet / trends*, Software",Review
Artificial neural networks can be effectively used to model changes of intracranial pressure (ICP) during spinal surgery using different noninvasive ICP surrogate estimators,https://pubmed.ncbi.nlm.nih.gov/29480684/,10.23736/S0390-5616.18.04299-6," Ramat Gan, Israel - watad.abdulla@gmail.com.",2023,J Neurosurg Sci,"Background:
        
      
      Artificial intelligence (AI) techniques play a major role in anesthesiology, even though their importance is often overlooked. In the extant literature, AI approaches, such as artificial neural networks (ANNs), have been underutilized, being used mainly to model patient's consciousness state, to predict the precise number of anesthetic gases, the level of analgesia, or the need of anesthesiological blocks, among others. In the field of neurosurgery, ANNs have been effectively applied to the diagnosis and prognosis of cerebral tumors, seizures, low back pain, and also to the monitoring of intracranial pressure (ICP).","Artificial Intelligence, Humans, Intracranial Hypertension* / surgery, Intracranial Pressure / physiology, Neural Networks, Computer, Optic Nerve / diagnostic imaging, Ultrasonography / methods",N/A
Machine-learning model predicting postoperative delirium in older patients using intraoperative frontal electroencephalographic signatures,https://pubmed.ncbi.nlm.nih.gov/36313029/,10.3389/fnagi.2022.911088," Berlin, Germany.",2022,Front Aging Neurosci,"Objective:
        
      
      In older patients receiving general anesthesia, postoperative delirium (POD) is the most frequent form of cerebral dysfunction. Early identification of patients at higher risk to develop POD could provide the opportunity to adapt intraoperative and postoperative therapy. We, therefore, propose a machine learning approach to predict the risk of POD in elderly patients, using routine intraoperative electroencephalography (EEG) and clinical data that are readily available in the operating room.",,N/A
The use of a machine-learning algorithm that predicts hypotension during surgery in combination with personalized treatment guidance: study protocol for a randomized clinical trial,https://pubmed.ncbi.nlm.nih.gov/31601239/,10.1186/s13063-019-3637-4," Amsterdam, The Netherlands.",2019,Trials,"Background:
        
      
      Intraoperative hypotension is associated with increased morbidity and mortality. Current treatment is mostly reactive. The Hypotension Prediction Index (HPI) algorithm is able to predict hypotension minutes before the blood pressure actually decreases. Internal and external validation of this algorithm has shown good sensitivity and specificity. We hypothesize that the use of this algorithm in combination with a personalized treatment protocol will reduce the time weighted average (TWA) in hypotension during surgery spent in hypotension intraoperatively.","Clinical Trial Protocol, Arterial Pressure*, Blood Pressure Determination*, Decision Support Techniques*, Humans, Hypotension / diagnosis, Hypotension / etiology*, Hypotension / physiopathology, Hypotension / therapy, Intraoperative Period, Machine Learning*, Monitoring, Intraoperative / methods*, Netherlands, Predictive Value of Tests, Prospective Studies, Randomized Controlled Trials as Topic, Risk Assessment, Risk Factors, Surgical Procedures, Operative / adverse effects*, Time Factors, Treatment Outcome",N/A
Expert systems in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/14988759/,10.1358/dot.1998.34.7.485257,N/A,1998,Drugs Today (Barc),"There are only a limited number of computer-based systems designed to support anesthesiologists in the operating room. This is evident from the very small number of publications on this topic. These systems may be classified by the functions they perform and include: intelligent anesthesia workstations (with current data acquisition, conditioning and analysis subsystems), systems to detect critical conditions in patients (including expert systems in smart alarm capacity), anesthesia management systems (for planning and management) and drug administration systems. Drug administration systems may be subdivided into open-loop and closed-loop systems. The techniques applied for design of such systems vary extensively. There are traditional rule-based expert systems and probability-based systems, and more recently developed artificial intelligence methods, such as neural networks and fuzzy logic. Computers are valuable tools that have the potential to assist anesthesiologists in carrying out cumbersome and monotonous processes. Future efforts may result in the development of sophisticated systems capable of assuming more responsibilities and of reducing human workload and stress.",,N/A
Continuing medical education and the anesthesiologist,https://pubmed.ncbi.nlm.nih.gov/10386293/,N/A,N/A,1999,J Clin Anesth,"There are a large variety of scheduled activities and courses available to meet the continuing medical education (CME) needs of anesthesiologists. The presentation of CME material varies in format and delivery style. The reasons for attending CME activities include licensure requirements, participation in state and national societies, keeping current with technology, review of old subject material, participation as a lecturer, and other personal reasons. Funding occurs via personal funds, employer support, commercial support, or by research grants. External bodies, such as the American Council of Continuing Medical Education and the American Medical Association, have imposed guidelines in these areas. Methods to evaluate CME activities include retrospective needs analysis based on exit interviews, prospective needs assessment, focus groups, and complex systems such as the CRISIS criteria. Self-directed CME can be evaluated by data collection that identifies how quickly information is received and by the effect of this data on measurable outcome. In the future, CME will increasingly utilize simulators and multimedia computers. Multimedia can bring CME to the physician as opposed to the physician traveling to a CME site. Virtual reality and artificial intelligence are on the horizon and may interface well with the field of anesthesiology due to the technical nature of the discipline and the increasing use of computers and electronic data collection already occurring in clinical practice.","Anesthesiology / education*, Certification, Education, Medical, Continuing*, Humans, Internet, Licensure",N/A
Artificial Intelligence and Machine Learning in Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/30973516/,10.1097/ALN.0000000000002694," Boston, Massachusetts.",2019,Anesthesiology,"Commercial applications of artificial intelligence and machine learning have made remarkable progress recently, particularly in areas such as image recognition, natural speech processing, language translation, textual analysis, and self-learning. Progress had historically languished in these areas, such that these skills had come to seem ineffably bound to intelligence. However, these commercial advances have performed best at single-task applications in which imperfect outputs and occasional frank errors can be tolerated.The practice of anesthesiology is different. It embodies a requirement for high reliability, and a pressured cycle of interpretation, physical action, and response rather than any single cognitive act. This review covers the basics of what is meant by artificial intelligence and machine learning for the practicing anesthesiologist, describing how decision-making behaviors can emerge from simple equations. Relevant clinical questions are introduced to illustrate how machine learning might help solve them-perhaps bringing anesthesiology into an era of machine-assisted discovery.","Review, Algorithms*, Anesthesiology / methods, Anesthesiology / trends*, Artificial Intelligence / trends*, Humans, Machine Learning / trends*",Review
"Artificial Intelligence in Anesthesiology: Current Techniques, Clinical Applications, and Limitations",https://pubmed.ncbi.nlm.nih.gov/31939856/,10.1097/ALN.0000000000002960," Cambridge, Massachusetts (G.R.).",2020,Anesthesiology,"Artificial intelligence has been advancing in fields including anesthesiology. This scoping review of the intersection of artificial intelligence and anesthesia research identified and summarized six themes of applications of artificial intelligence in anesthesiology: (1) depth of anesthesia monitoring, (2) control of anesthesia, (3) event and risk prediction, (4) ultrasound guidance, (5) pain management, and (6) operating room logistics. Based on papers identified in the review, several topics within artificial intelligence were described and summarized: (1) machine learning (including supervised, unsupervised, and reinforcement learning), (2) techniques in artificial intelligence (e.g., classical machine learning, neural networks and deep learning, Bayesian methods), and (3) major applied fields in artificial intelligence.The implications of artificial intelligence for the practicing anesthesiologist are discussed as are its limitations and the role of clinicians in further developing artificial intelligence for use in clinical care. Artificial intelligence has the potential to impact the practice of anesthesiology in aspects ranging from perioperative support to critical care delivery to outpatient pain management.","Review, Anesthesiology / methods*, Anesthesiology / trends, Artificial Intelligence* / trends, Deep Learning / trends, Humans, Machine Learning / trends, Monitoring, Intraoperative / methods*, Monitoring, Intraoperative / trends, Neural Networks, Computer",Review
